FileName,GPSLatitude,GPSLongitude,CreateDate
IMG_3275.jpg,51.525455,0.13640556,2015:08:10 11:03:31
IMG_3320.jpg,51.524452,0.13409168,2015:08:10 13:55:59
IMG_3642.jpg,51.51677,0.13473333,2015:08:24 16:26:19
IMG_3763.jpg,51.538284,0.1590889,2015:08:29 14:59:38
IMG_3833.jpg,52.20289,0.11828333,2015:08:30 13:31:41
IMG_3266.jpg,49.10917,2.1915417,2015:11:22 15:33:58
IMG_9281.jpg,49.09042,2.199925,2015:11:22 16:57:53
IMG_9387.jpg,48.85779,2.3478415,2015:11:28 15:53:41
IMG_9400.jpg,48.859497,2.3447528,2015:11:28 16:28:57
IMG_9483.jpg,48.846317,2.3450027,2015:12:05 15:44:27
